This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

        Mkt-RF     SMB     HML     RMW     CMA      RF
196307   -0.39   -0.46   -0.82    0.72   -1.15    0.27
196308    5.07   -0.85    1.63    0.42   -0.33    0.25
196309   -1.57   -0.50    0.19   -0.80    0.27    0.27
196310    2.53   -1.30   -0.11    2.75   -2.24    0.29
196311   -0.85   -0.83    1.66   -0.34    2.22    0.27
196312    1.83   -1.87   -0.11    0.18   -0.30    0.29
196401    2.24    0.12    1.64    0.21    1.46    0.30
196402    1.54    0.30    2.83    0.04    0.86    0.26
196403    1.41    1.43    3.36   -2.01    2.93    0.31
196404    0.10   -1.52   -0.42   -1.39   -1.08    0.29
196405    1.42   -0.69    1.88   -0.28    0.28    0.26
196406    1.27    0.05    0.72   -0.36    0.17    0.30
196407    1.74    0.47    0.70    0.02    1.91    0.30
196408   -1.44    0.30    0.12   -0.09    0.35    0.28
196409    2.69   -0.31    1.65   -0.36    0.59    0.28
196410    0.59    0.91    1.14   -0.18    0.45    0.29
196411    0.00   -0.28   -1.96    0.62   -0.17    0.29
196412    0.03   -0.56   -2.58    1.27   -1.64    0.31
196501    3.54    2.48    0.20    0.75    0.15    0.28
196502    0.44    3.30    0.19    0.26   -0.67    0.30
196503   -1.34    2.02    1.07   -0.33    0.75    0.36
196504    3.11    1.19    0.70    0.34   -2.30    0.31
196505   -0.77    0.04   -1.61   -0.47    0.73    0.31
196506   -5.51   -4.31    0.58    0.13    0.44    0.35
196507    1.43    1.04    2.22   -1.45    0.00    0.31
196508    2.73    2.74   -1.07    1.87   -0.72    0.33
196509    2.86    0.60   -0.11   -1.08    0.84    0.31
196510    2.60    3.41    1.60    1.23   -0.73    0.31
196511   -0.03    5.22    0.23   -1.07   -0.89    0.35
196512    1.01    2.68    2.08   -1.04   -0.50    0.33
196601    0.72    4.67    3.57   -3.03   -0.06    0.38
196602   -1.21    4.79    0.36    0.11   -1.45    0.35
196603   -2.51    0.24   -2.05    1.26   -0.04    0.38
196604    2.14    3.37   -0.45    0.42   -0.92    0.34
196605   -5.66   -5.15   -1.65    1.74   -1.50    0.41
196606   -1.44    1.38    0.49   -0.05    0.77    0.38
196607   -1.63   -0.35    0.82   -0.54    1.64    0.35
196608   -7.91   -3.06    0.56    0.20    0.87    0.41
196609   -1.06   -1.12    0.50   -1.23    2.45    0.40
196610    3.86   -6.46    2.81   -3.59    4.23    0.45
196611    1.40    3.49   -4.60    4.15   -6.70    0.40
196612    0.13    1.95   -1.29    0.91   -0.20    0.40
196701    8.15    9.08    2.03    0.62   -3.19    0.43
196702    0.78    3.09   -2.26    2.11   -0.99    0.36
196703    3.99    2.00    0.19    0.67   -1.63    0.39
196704    3.89    0.45   -2.54    2.53   -3.69    0.32
196705   -4.33    2.36    0.89   -1.87    1.64    0.33
196706    2.41    6.52    0.95   -0.64   -2.39    0.27
196707    4.58    3.23    2.65   -1.58    2.72    0.31
196708   -0.89    0.74    1.46    0.51    1.40    0.31
196709    3.11    2.38   -2.46   -0.02   -0.92    0.32
196710   -3.09    0.49   -3.38    0.90   -2.61    0.39
196711    0.37    0.00   -1.71    1.29   -2.29    0.36
196712    3.05    5.72   -0.39   -1.03    0.08    0.33
